OID_,COUNTYFP_2020,ALAND_2020,AWATER_2020,TOTALPOP_2020,AUND1_2020,A1TO4_2020,A5TO17_2020,A18TO24_2020,AUND25_2020,A25OV_2020,A25TO64_2020,A65TO79_2020,A80OV_2020,WOMCHILD_2020,WHITE_2020,BLACK_2020,ASIAN_2020,HAWPI_2020,OTHER_2020,TWOMORE_2020,NHISP_2020,HISP_2020,NHISPWHITE_2020,NHISPBLACK_2020,HOUSEHOLD_2020,HHPOP_2020,FEMW18CHIL_2020,HHUNIT_2020,OCC_2020,OWN_2020,VACANT_2020,HU1P_2020,STATEFP20,Shape_Length,Shape_Area,FIPSTCO,SVI_2020,SVI_2010,SVI_2000,TP1990L05,TP1990L10,TP1990O10,TP2000L05,TP2000L10,TP2000O10,TP2010L05,TP2010L10,TP2010O10,TP2020L05,TP2020L10,TP2020O10,INLECZ
11,021,2300500049.000000000000000,19009784.000000000000000,97216.000000000000000,1252.000000000000000,4917.000000000000000,18206.000000000000000,8196.000000000000000,32385.000000000000000,59723.000000000000000,49618.000000000000000,30365.000000000000000,2704.000000000000000,20518.000000000000000,55730.000000000000000,5759.000000000000000,765.000000000000000,74.000000000000000,16953.000000000000000,16667.000000000000000,55732.000000000000000,41484.000000000000000,45751.000000000000000,5460.000000000000000,33267.000000000000000,95049.000000000000000,20518.000000000000000,36683.000000000000000,36683.000000000000000,33267.000000000000000,3416.000000000000000,7540.000000000000000,48,1.831599434193749,0.217086131940445,48021,0.521823717937436,0.571372732796404,0.584670708307525,0,0,0,0,0,0,0,0,0,0,0,0,0
12,023,2246764583.000000000000000,86991035.000000000000000,3465.000000000000000,34.000000000000000,176.000000000000000,616.000000000000000,207.000000000000000,1036.000000000000000,2085.000000000000000,1595.000000000000000,1116.000000000000000,222.000000000000000,600.000000000000000,3036.000000000000000,57.000000000000000,9.000000000000000,0.000000000000000,114.000000000000000,238.000000000000000,3026.000000000000000,439.000000000000000,2797.000000000000000,52.000000000000000,1503.000000000000000,3411.000000000000000,600.000000000000000,2094.000000000000000,2094.000000000000000,1503.000000000000000,591.000000000000000,518.000000000000000,48,1.912542769887480,0.226739080556266,48023,0.587679226846552,0.620840471172902,0.375307936660368,0,0,0,0,0,0,0,0,0,0,0,0,0
13,025,2279809487.000000000000000,246409.000000000000000,31047.000000000000000,292.000000000000000,1186.000000000000000,4582.000000000000000,2878.000000000000000,8903.000000000000000,20671.000000000000000,17965.000000000000000,7607.000000000000000,878.000000000000000,5097.000000000000000,15347.000000000000000,2395.000000000000000,221.000000000000000,4.000000000000000,7160.000000000000000,5708.000000000000000,11655.000000000000000,19392.000000000000000,8600.000000000000000,2316.000000000000000,8896.000000000000000,23618.000000000000000,5097.000000000000000,10562.000000000000000,10562.000000000000000,8896.000000000000000,1666.000000000000000,2269.000000000000000,48,2.242946100492098,0.209974326896328,48025,0.633887231645409,0.710616783381138,0.740442152477933,0,0,0,0,0,0,0,0,0,0,0,0,0
14,027,2729409784.000000000000000,94384056.000000000000000,370647.000000000000000,5516.000000000000000,21851.000000000000000,71326.000000000000000,42499.000000000000000,140983.000000000000000,213525.000000000000000,185629.000000000000000,112459.000000000000000,9033.000000000000000,93171.000000000000000,180426.000000000000000,85241.000000000000000,11466.000000000000000,3764.000000000000000,32933.000000000000000,53363.000000000000000,277180.000000000000000,93467.000000000000000,156780.000000000000000,80759.000000000000000,135673.000000000000000,361914.000000000000000,93171.000000000000000,147599.000000000000000,147599.000000000000000,135673.000000000000000,11926.000000000000000,33673.000000000000000,48,2.183254132804989,0.266787950911620,48027,0.524419669001599,0.399571152170930,0.566752468334205,0,0,0,0,0,0,0,0,0,0,0,0,0
15,029,3212413223.000000000000000,40802184.000000000000000,2009324.000000000000000,25060.000000000000000,102138.000000000000000,371401.000000000000000,211166.000000000000000,708102.000000000000000,1200463.000000000000000,1036376.000000000000000,621352.000000000000000,58336.000000000000000,498952.000000000000000,919729.000000000000000,161307.000000000000000,68675.000000000000000,3549.000000000000000,308330.000000000000000,524541.000000000000000,818366.000000000000000,1190958.000000000000000,535732.000000000000000,147875.000000000000000,726886.000000000000000,1970762.000000000000000,498952.000000000000000,794173.000000000000000,794173.000000000000000,726886.000000000000000,67287.000000000000000,188125.000000000000000,48,2.743916929814910,0.302529143324997,48029,0.600120149947282,0.517470448351114,0.522414955905628,0,0,0,0,0,0,0,0,0,0,0,0,0
16,031,1836953736.000000000000000,10813161.000000000000000,11374.000000000000000,97.000000000000000,360.000000000000000,1505.000000000000000,690.000000000000000,2643.000000000000000,7621.000000000000000,5508.000000000000000,4160.000000000000000,535.000000000000000,1899.000000000000000,9255.000000000000000,72.000000000000000,44.000000000000000,7.000000000000000,745.000000000000000,1164.000000000000000,9282.000000000000000,2092.000000000000000,8707.000000000000000,68.000000000000000,4787.000000000000000,11304.000000000000000,1899.000000000000000,6056.000000000000000,6056.000000000000000,4787.000000000000000,1269.000000000000000,1288.000000000000000,48,1.683347865884949,0.173215330578983,48031,0.385721487757830,0.371846723813599,0.542682122141599,0,0,0,0,0,0,0,0,0,0,0,0,0
17,033,2324366072.000000000000000,22297606.000000000000000,631.000000000000000,10.000000000000000,24.000000000000000,129.000000000000000,32.000000000000000,192.000000000000000,387.000000000000000,304.000000000000000,190.000000000000000,38.000000000000000,106.000000000000000,576.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,11.000000000000000,42.000000000000000,545.000000000000000,86.000000000000000,528.000000000000000,1.000000000000000,256.000000000000000,631.000000000000000,106.000000000000000,359.000000000000000,359.000000000000000,256.000000000000000,103.000000000000000,59.000000000000000,48,1.908327455937894,0.225775674783227,48033,0.508239240234436,0.216800004243851,0.382151523773069,0,0,0,0,0,0,0,0,0,0,0,0,0
18,035,2545908129.000000000000000,50666116.000000000000000,18235.000000000000000,196.000000000000000,703.000000000000000,2891.000000000000000,1188.000000000000000,4967.000000000000000,11525.000000000000000,8573.000000000000000,6199.000000000000000,1024.000000000000000,3249.000000000000000,14483.000000000000000,279.000000000000000,80.000000000000000,3.000000000000000,1312.000000000000000,1923.000000000000000,14914.000000000000000,3321.000000000000000,13621.000000000000000,244.000000000000000,7391.000000000000000,17986.000000000000000,3249.000000000000000,9284.000000000000000,9284.000000000000000,7391.000000000000000,1893.000000000000000,1993.000000000000000,48,2.553527706399376,0.247548578048931,48035,0.562462194049149,0.562244985321567,0.438560992228604,0,0,0,0,0,0,0,0,0,0,0,0,0
19,037,2291969119.000000000000000,98398488.000000000000000,92893.000000000000000,1072.000000000000000,4365.000000000000000,16080.000000000000000,7688.000000000000000,29044.000000000000000,57531.000000000000000,47445.000000000000000,28719.000000000000000,3658.000000000000000,19540.000000000000000,57482.000000000000000,23251.000000000000000,1094.000000000000000,84.000000000000000,4271.000000000000000,5957.000000000000000,85291.000000000000000,7602.000000000000000,55855.000000000000000,23084.000000000000000,35518.000000000000000,87244.000000000000000,19540.000000000000000,39536.000000000000000,39536.000000000000000,35518.000000000000000,4018.000000000000000,10489.000000000000000,48,4.017987699380035,0.231789522561873,48037,0.443309736139705,0.645764203596983,0.539224549994501,0,0,0,0,0,0,0,0,0,0,0,0,0
20,039,3530999266.000000000000000,635436647.000000000000000,372031.000000000000000,4682.000000000000000,18917.000000000000000,72867.000000000000000,31229.000000000000000,127360.000000000000000,227876.000000000000000,196856.000000000000000,116416.000000000000000,9393.000000000000000,87012.000000000000000,190232.000000000000000,55176.000000000000000,26592.000000000000000,183.000000000000000,41976.000000000000000,55133.000000000000000,256829.000000000000000,115202.000000000000000,161833.000000000000000,53668.000000000000000,127464.000000000000000,361717.000000000000000,87012.000000000000000,141493.000000000000000,141493.000000000000000,127464.000000000000000,14029.000000000000000,26653.000000000000000,48,3.160284474254184,0.386410211717552,48039,0.644393702713935,0.552542756304057,0.554552317012853,11821,92273,99434,13958,104291,137476,13254,105851,207315,12157,108215,263816,1
21,041,1518090937.000000000000000,13210254.000000000000000,233849.000000000000000,2790.000000000000000,11089.000000000000000,34104.000000000000000,64453.000000000000000,112367.000000000000000,112711.000000000000000,98374.000000000000000,57632.000000000000000,5330.000000000000000,69362.000000000000000,140206.000000000000000,24341.000000000000000,14763.000000000000000,233.000000000000000,23525.000000000000000,29163.000000000000000,170782.000000000000000,63067.000000000000000,123035.000000000000000,23569.000000000000000,85304.000000000000000,213042.000000000000000,69362.000000000000000,96710.000000000000000,96710.000000000000000,85304.000000000000000,11406.000000000000000,24936.000000000000000,48,2.855287398127965,0.144119689463191,48041,0.378668412021192,0.341137708232974,0.319979771026928,0,0,0,0,0,0,0,0,0,0,0,0,0
22,043,16015871248.000000000000000,22062518.000000000000000,9546.000000000000000,90.000000000000000,331.000000000000000,1291.000000000000000,1150.000000000000000,2850.000000000000000,5967.000000000000000,4568.000000000000000,3172.000000000000000,381.000000000000000,1963.000000000000000,6411.000000000000000,198.000000000000000,94.000000000000000,11.000000000000000,793.000000000000000,1899.000000000000000,5583.000000000000000,3963.000000000000000,4948.000000000000000,162.000000000000000,4230.000000000000000,9060.000000000000000,1963.000000000000000,5930.000000000000000,5930.000000000000000,4230.000000000000000,1700.000000000000000,1636.000000000000000,48,6.055960962743766,1.496733525554053,48043,0.664622006834607,0.406036562326283,0.609587852691688,0,0,0,0,0,0,0,0,0,0,0,0,0
23,045,2330991073.000000000000000,4068657.000000000000000,1435.000000000000000,15.000000000000000,63.000000000000000,246.000000000000000,73.000000000000000,395.000000000000000,898.000000000000000,644.000000000000000,467.000000000000000,101.000000000000000,236.000000000000000,1175.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,141.000000000000000,94.000000000000000,1067.000000000000000,368.000000000000000,1008.000000000000000,17.000000000000000,605.000000000000000,1435.000000000000000,236.000000000000000,874.000000000000000,874.000000000000000,605.000000000000000,269.000000000000000,162.000000000000000,48,1.923171786357184,0.229280778587260,48045,0.660306665231439,0.759008228654995,0.631030258402763,0,0,0,0,0,0,0,0,0,0,0,0,0
